BN/Registration number,Fiscal period end,Form ID,Political Activities Description,Public Policy Description
871838728RR0001,2018-03-31 00:00,23,Volunteer BC engages in political activities by proposing changes to the proposed BC Society Act and also comments on proposed changes to the BC Gaming Grant regulations and guidelines.,
883082117RR0001,2018-12-31 00:00,23,"Vivo attended meetings with elected officials who serve our catchment area to inform them of our work, our impact in the community, and to submit formal requests for expansion funding for Vivo's Centre for Healthier Generations.  Expansion would allow Vivo to serve and support more people in the catchment area on their healthy living journey.",
119281640RR0001,2018-12-31 00:00,23,"Vancouver Foundation's public policy agenda, including any grants to qualified donees, is aligned to the objectives of the Vancouver Foundation Act. The Foundation ""promotes educational advancement and scientific or medical research for the increase of human knowledge and the alleviation of human suffering"".In 2018, the Foundation supported research and convening to advocate for municipal voting for permanent residents in Vancouver. This involved engaging young immigrants and refugees in understanding and navigating the frameworks that govern voting rights, as well as supporting volunteers and aligned organizations in their efforts to call attention to this issue through social and traditional media.In 2018, Vancouver Foundation presented to the Senate Special Committee on the Charitable Sector to advocate for measures to:1) strengthen charities,2) expand the impact of the sector,3) ensure the stability of its workforce, and4) implement the recommendations of the Consultation Panel on the Political Activities of Charities.",
108102161RR0001,2018-06-30 00:00,23,"Use of UCV banner at peaceful, non-partisan Kinder Morgan rallies & marches.",
119278216RR0001,2018-03-31 00:00,23,United Way's public policy agenda is driven by a series of original research into trends that impact the quality of life in the city and across the region. We work closely with governments at all levels to identify policies that should be retained or changed. All political activities checked before are connected to our research and policy recommendations.,
119278166RR0001,2018-12-31 00:00,23,United Way of Chatham-Kent held a televised public forum of local municipal ward councillors and mayoral candidates to discuss issues relevant to our local non-profit and charitable organizations. Each candidate had an equal opportunity to respond.,
119276723RR0001,2018-06-30 00:00,23,"United Jewish Appeal of GREATER Toronto (""UJAT"") extends grants to United Israel Appeall of Canada (a registered charity: (JFC-UIA"") in support of JFV-UIA's charitable activities. Among UJAGT's charitable purposes is to receive funnds and to apply any part thereof for the benefit of registered charities that have similar objective to the objective of UJAGT. JFC-UIA has similar objects to UJAGT's object as ountlined below. JFC-UIA is carrying out its political activities through its advocacy agent. The Centre for Israel and Jewish Affairs (""CIJA""), which issues press based activities that advance the following charitable objects"" -Relief of poverty - CIJA advocated for policies, particularly at the provincial leve, that improve access to housing, services to seniors and other public services that are used by vulnerable members of the Jewish community.Advance education about Judaism and Jewish values. Activities are aimed at ensuring that instruction/education abot core Jewish values is accessible at multiple levels. .Immingration and refugee reform in Canada - CIJA has been actively involved in the consultation process, including representation to Parliament on the issue of proposed changes to legislation related to refugee claims and other aspects of the immigration law. The Jewish community has particular experience with respect to the plight of the vulnerable refugee population as well as with the immigration and Refugee Board of Canada. .Promote understanding of the Jewish religion and the role of the land of the Israel in Judaism - CIJA argued for the recognition of Jewish Refugees from Arab countries, many of whom settled in Israel. .Encourage and express appreciation for policies and decisions that recognize the importance of the land of Israel to members of the Jewish community..CIJA encourages compliance with anti-discrimination and anti-hate laws. .Analyze and advocates for reforms of the Human Rights codes and ensure protection of free speech while protecting against hate speech.",
122680572RR0001,2018-12-31 00:00,23,"UNICEF Canada collaborates with governments and organizations in Canada to promote the UN Convention on the Rights of the Child, ratified by Canada in 1991.That includes outreach to the public through media releases and interviews, blogs, publications, marketing materials, lectures and opeds in order to promote and reinforce government action in support of children's rights in Canada and around the world.",
835610312RR0001,2018-03-31 00:00,23,UNE DE NOS EMPLOYÉES A PARTICIPER A DEUX REPRISES A UNE MANIFESTATION SURE LES SUBVANTIONS ACCORDÉES AUX ORGANISMES COMMUNAUTAIRES,
896822822RR0001,2018-12-31 00:00,23,"Trip to Victoria by two directos for meetings with Minister of the Environment (H.D.P) and Green Party Environment critic, concerning possible protected areas in current logging areas. [ both purposes - [ Habitat conservations ]Donation to native ""Tiny House"" movement protesting Kinder-Morgan Pipeline.",
862985710RR0001,2018-12-31 00:00,23,"Travels and speaks at meetings, churches, and public meetings concerning SOG1-123 school curriculum. Promotes media and in church brochure meeting times concerning S0G1-123. Petitions all matters concerning S0G1-123, to educate local community of how this curriculum is not good for students.",
875944738RR0001,2018-12-31 00:00,23,Travail effectué pour la conception d'un projet de loi encadrant la prise en charge des étudiants allergiques.  Ceci est en lien avec la mission de promouvoir la sécurité et améliorer la qualité de vie de ceux et celles avec des allergies alimentaires.et sensibiliser à ce problème de santé publique.,
887607901RR0001,2018-03-31 00:00,23,"Trail education continues in the form of letters to the editor, information packets** to municiple and provincial levels of government to inform the public and government members of ongoing issues related to Trail access and maintenance. Partnering with RCMP, DNR, DOT and local activities groups help with educating user and abusers of the trail system. ** Information packets were targeted at forwarding the Association's agenda of joining the multiuse-trail system through the Town of Yarmouth and to support any other trail association who wished to join trails through towns and amend the Off Highway Vehicle act so motorized OHVs can travel on designated areas through a town using public roads.",
839965183RR0001,2018-12-31 00:00,23,Totally Kids Daycare Inc. participated in correspondence with MLA's/MP's responsible for The Daycare Act and other relevant legislation pertaining to the child-care industry. We also asked the general public to put pressure on their local MLA's/MP's through letter writing campaigns.,
119246635RR0008,2018-12-31 00:00,23,To support the promotion and enhance the interest in maritime affairs through the publication of a variety of articles and including provisional support to the Canadian Naval Review.,
805872264RR0001,2018-03-31 00:00,23,"To Preach and advance the tracking of the Chrisian faith, to establish and maintain and support a house of worship with Services conducted in accordance with the doctrin of the Christian Faith. To offer support to the needy both in prayer, in financial and to supply Clothing and food the those in need. To cancel youth and elderly alive. We have weekly services and brodcasting",
130318041RR0001,2018-09-30 00:00,23,"To engage lung disease patients, care givers and medical representatives to inform and educate government about the issues facing Albertans with lung disease and their families. By developing relationships and informing key political representatives who have oversight for research funding, supporting early detection efforts and providing additional support and treatment options for patients with lung diseases. Our efforts seek to keep these issues top of mind for those key decision makers in government.",
868947797RR0001,2018-03-31 00:00,23,TO ADVANCE THE CONSERVATION OF WILD PACIFIC SALMON.,
836727644RR0001,2018-06-30 00:00,23,"TNC Canada's principal purpose is to conserve the lands and waters on which all life depends. In some cases, this work involves influencing,calling for changes to,or providing advice regarding changes to government decisions,legislation or regulations. While TNC Canada's principal means of doing so involves discussions with and advice directly to government,some of its activities are political because the public nature of that advice to government communicates to the public that the law,policy or decisions of a government should be retained,opposed or changed. Some of the political activities involve communications to the public regarding strategies for increasing climate resilience and freshwater ecological condition. Staff engaged in publlic communication in Ottawa,encouraging the government to participate financially and legislatively in the creation of specific parks and protected areas in the Nortwest Territories.",
892604281RR0001,2018-12-31 00:00,23,"TI Canada is a leading voice for addressing beneficial ownership transparency, anti- money laundering and white collar crime in Canada. TI Canada staff and Board members have made submission to public consultations bu the Federal Government and the BC Government as well provided commentary in the press. Together with our project partners, TI Canada aims to address recommendations based on evidence from our research calling for the establishment of a Pan Canadian public accessible registry of corporate beneficial ownership. We have further called for greater enforcement of the Corruption of Foreign and Public Official Act.These actions are in line with TI Canada's mandate to fight corruption in Canada as it would address Canada being used as a location for money laundering and ensure that Canadian companies are held accountable if they commit corruption abroad.",
137747705RR0001,2018-12-31 00:00,23,"Throughout 2018, Owl engaged services of a Government Relations Advisor to assist Owl to be more influential in child care policies, regulations and resources.Hosted and participated in discussions and workshops, through the Early Years Coalition and AECEO, regarding advocacy strategy and universal child care.",
119039337RR0001,2018-03-31 00:00,23,"Through media interviews, social media posts and emails we encouraged members of the general public to encourage our provincial government to be bold and innovative in transforming the Employment Support and Income assistance Program and to make hunger and poverty priority issues to be addressed. We did not provide funding to any organizations to support political activities.",
119271153RR0001,2018-12-31 00:00,23,"This year our public policy activities were related to the objectives of Amnesty International and based on Gospel principles of justice and love including i.e. human dignity, care of creation, peace and non-violence, protection and support for marginalized people, etc. ). One Sunday after church the congregation discussed and wrote individual letters related to Amnesty International.",
119276400RR0001,2018-12-31 00:00,23,"This year our public policy activities were related to promoting Fundamental Gospel beliefs, justice and love including human dignity, care of creation and support for our indigenous and marginalized people and supporting local community support relief.",
822809802RR0001,2018-08-31 00:00,23,THIS CHARITY WAS INVOLVED IN NO POLITICAL ACTIVITIES. MARK WARREN,
119079531RR0001,2018-12-31 00:00,23,This charity does not engage in political activities,
894383512RR0001,2018-12-31 00:00,23,"These activities include national social and environmental policy campaigns.  Our campaigns utilized public education materials, workshops,newspaper articles with an emphasis on engaged citizenship.  We worked to mobilize our members and supporters.  This served to inform andeducate members on the nuances and importance of Canadian social and environmental policy and sometimes encouraged our members tocontact their members of Parliament on these issues.  Our mandate is precisely to undertake research and education on these same issues andtherefore is well aligned with our charitable objectives.  None of our activity was partisan but identified desirable policy changes according to our values and research results.  Specifically we worked to see a national anti-poverty plan adopted as well as useful environmental policies inregards to climate change.",
135244234RR0001,2018-12-31 00:00,23,"There were no gifts to qualified donees. Political activities have been non-partisan, related to the organizations charitable purposes and very limited.  In conjunction with educating the public on the importance of fisheries habitat.  The organization also educates the public on the importance of protecting fisheries habitat from a wide range of human impacts as part of the latter, on a limited basis.  This involves informing the public as to the policies that would help protect fish habitat and very occasionally this involves meeting with decisionmakers to communicate these policy positions.",
118783117RR0001,2018-12-31 00:00,23,There is no political activity conducted by this charity.,
104317375RR0001,2018-06-30 00:00,23,"theatresin Canada;theatres and the media;theatres and the public;e)Advancing andpr omoting Canadian professional Theatre internationally;f)Affording professional theatres in Canada an opportunity to act for their common purpose and interest;g)Acting in the interest and on behalf of its members in all lawfulactivities which may directly or indirectly contribute to the accomplishment of these objects. of professional Theatre in Canada;b)Promoting community interest in and support of Theatre in Canada;c) Gaining increased recognition and support of professional Theatre from Federal,Provincial,and Municipal Governments and their agencies,and from the corporate and private sectors;d) Encouraging andpromoting communication and harmonious relations between and among:theatresin Canada;theatres and the media;theatres and the public;e)Advancing andpr omoting Canadian professional Theatre internationally;f)Affording professional theatres in Canada an opportunity to act for their common purpose and interest;g)Acting in the interest and on behalf of its members in all lawfulactivities which may directly or indirectly contribute to the accomplishment of these objects.",
108227935RR0001,2018-12-31 00:00,23,"The YWCA Edmonton is a women's humanitarian association who's mission is to lead, support, and advocate for women, girls, and families when, and where they need us. As part of our charitable work in 2018 we:-Advocated for rights of women, highlighting legislation dealing with violence against women.-Advocated for rights of individuals with disabilities and their families, especially pertaining to changing safety standards and funding models.-Communicated with provincial government and municipal government regarding policies that affect gender-based issues.-Participated in the Alberta Council of Disability Servies which brings together service providers that serve individuals with disabilities to jointlyadvocate for the sector.-Particpated in the Alberta Council of Service Providers, which advises the provincial government on issues that affect individuals withdisabilities.",
883021594RR0001,2018-12-31 00:00,23,"The Table has made public statements and participated in campaigns through newsletter and social media calling for the provincial government to increase social assistance rates, and for the County to invest more in social housing. We see these as essential steps to addressing poverty and hunger (food insecurity) in our community and elsewhere in the province.",
896354008RR0001,2018-06-30 00:00,23,"The Stephen Lewis Foundation, through its Agents across Africa, supports a limited number of political activities including the following: -meetings with traditional leadership, political officials, and other duty-bearers around support for people living with HIV and AIDS, and the promotion of human rights, democracy, and public accountability. -development of publications and policy briefs on existing rights and laws -development of calls to action to specifically address issues of violence against women and basic rights for grandmothers and to see the enforcement of existing laws -organizing conferences, gatherings, rallies, and marches on the rights of women survivors of violence, grandmothers and children in the context of the HIV and AIDS pandemic",
821281433RR0001,2018-12-31 00:00,23,"The Society conducted a public information campaign concerning the impacts of open netpen salmon farming on wild Pacific salmon and urged participants to contact their Member of the Legislative Assembly or the Premier of British Columbia, with a request that salmon farming tenures in the Broughton Archipelago that were due to expire in June, 2018 should not be renewed. The Society participated in and encouraged its supports to participate in a rally, seeking the same relief. Salmon farming is an anthropongenic impact on the ocean and as such, an area of study within the Society's mandate. The Society concludes that unacceptable levels of impart on the ocean are occuring in the Broughton Archipelago as a result of the operation of open (...)netpens.",
119172278RR0001,2018-12-31 00:00,23,"The SHF is engaged in activities to uphold human rights, and promote the respect of human rights by Canadian companies in their overseas operations. The advocacy of the SHF included activities to promote public participation in a campaign of legislative and policy change of the Government of Canada. Specifically the campaign advocated the creation of a human rights ombudsperson to receive complaints. Based on experience learned through engagement in international development projects, and research, the SHF arrived at the conclusion that poverty alleviation and the upholding of human rights in the Global South would be advanced if certain Canadian policies and legislation related to the accountability of Canadian extractive companies were changed. Change in these areas would advance the charitable objects of the SHF. In addition (appart from corporate accountability advocacy) in certain segments of SHF educational seminars course instructors discussed changes needed in Canadian policy to promote environmental sustainability, sustainable development, and the upholding of human rights.",
890877590RR0001,2018-12-31 00:00,23,"The Schad Foundation provides support to registered charitable organizations focused on wildlife nd habitat conservation whose projects have the potential to make a significant, positive and sustainable impact on biodiversity. Examples include species protection through habitat restoration and protection, land use- planning, environmental policy, captive breeding, translocation and/or reintroduction.",
892395112RR0001,2018-12-31 00:00,23,"The Sandbox Project Charity supports Young Canadian Roundtable of Health (YCRH), which is a youth advocacy group that created YouthHealthRights.ca. The YCRH invites young Canadians to call their local MPs to support youth health rights priorities.",
119119873RR0001,2018-03-31 00:00,23,"The Right to Life Association of Toronto and Area participated in March for Life, a non-partisan political activity, from May 11 to 12 2017 by sending one staff person to represent the organization. The event included a peaceful demonstration in Ottawa to express our disagreement of Bill C-150, which does not protect the right to life of pre-born children. It also included a conference wherein the effects of abortion in our society were discussed.",
822464020RR0001,2018-06-30 00:00,23,"The representative executive members of the Students' Association of Mount Royal University (SAMRU) work cooperatively with other groups to lobby various levels of government on issues that affect post-secondary students.These issues can have serious implications for the well-being of students, and so in addition to the overall advancement of education these political activities relate to the SAMRU's charitable purposes of providing crisis support to students, food bank access, an emergency student loan and bursary program, counseling referral services, a free breakfast program for in- need students, a Christmas hamper program, support to Aboriginal students, elder counseling, support to international students, and advocacy",
817053531RR0001,2018-05-31 00:00,23,"The purpose of the SMOHOS is to find ways to lower barriers to access to dental (hygiene) maintenance care, and we do this through fundraising to create bursaries so people can get their oral health needs met with dignity by participating dental professionals in regular clinics, as opposed to the low-income clinics elsewhere which suffer from chronic funding shortages, staff/volunteer burn-out and difficulty finding dental professionals to work for free, leading to reduced hours to serve only the most urgent cases. This model is under development - nobody else has tries this- and we are working hard to make it work.",
129895066RR0001,2018-12-31 00:00,23,"The politicial activities of CMDS Canada in 2018 consisted of maintaining, developing and promoting the use of the website http://www.canadiansforconscience.ca which enabled users to use forms to write MPs, MPP/MLAs, Federal and Provincial Ministers of Health and Justice, members of the Senate, and the College of Physicians and Surgeons' Registrars from across Canada. We used our social media feeds to promote the content and letter writing capabilities of the above-named website. CMDS Canada representatives also made submissions and spoke to a variety of federal and provincial government committees in relation to medical assistance in dying and conscience protection.",
105261341RR0001,2018-03-31 00:00,23,"The political activities are limited to occasional in person meetings with Members of Parliament at the federal and provincial levels. Also, TWUC publicly advacates for legislative changes for the benefit of Canada's cultural sector.",
875787913RR0001,2018-12-31 00:00,23,"THE PEMBINA FOUNDATION'S POLITICAL ACTIVITY IN 2018 CONSISTED OF PREPARATION OF POLICY RECOMMENDATIONS, INCLUDING RECOMENDATION IN PUBLISHED REPORTS AND CONVENING INDUSTRY, OTHER ENGOS AND GOVERNMENT TO DISCUSS POLICY OPTIONS",
807725536RR0001,2018-12-31 00:00,23,The Pediatric Cancers Survivorship Society of BC did not conduct any political activities during the 2018 fiscal year.,
119074094RR0001,2018-12-31 00:00,23,"The organization's purposes include carrying on a religious community in common with the Roman Catholic Church for charitable, public welfare works, the relief of poverty, the advancement of religion, and other works beneficial to the community. Justice, peace and care for God's creation is an integral dimension of the mission of Jesus Christ and of Catholic Social Teaching which promotes human dignity, solidarity, the common good and an option for the poor. Thus, at times, the organization engages in non-partisan political activities as defined by the CRA. In the year 2018, this included support of calls for action to limit climate change, to end human rights abuses in various places around the world, to end human trafficking, and justice for First Nations people.",
