"BN/Registration number","Fiscal period end","Form ID","100","110","120","130"
"101836054RR0001",2018-8-31 00:00:00,"23","N","N",,
"101836294RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101836302RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101836369RR0001",2018-3-31 00:00:00,"23","N","N",,
"101836377RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101836401RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101836526RR0001",2018-3-31 00:00:00,"23","N","N",,
"101836583RR0001",2018-6-30 00:00:00,"23","N","N",,
"101836633RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101836641RR0001",2018-12-31 00:00:00,"23","N","N",,
"101836773RR0001",2018-3-31 00:00:00,"23","N","N",,
"101836823RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101837078RR0001",2018-12-31 00:00:00,"23","N","N",,
"101837318RR0001",2018-4-30 00:00:00,"23","N","N",,
"101837342RR0001",2018-6-30 00:00:00,"23","N","N",,
"101837367RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101837748RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101837847RR0001",2018-3-31 00:00:00,"23","N","N",,
"101864783RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101894277RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101943157RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"101944197RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101944577RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101944684RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101944981RR0001",2018-3-31 00:00:00,"23","N","N",,
"101945293RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101945384RR0001",2018-3-31 00:00:00,"23","N","N",,
"101945830RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101945962RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101946135RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101946531RR0001",2018-3-31 00:00:00,"23","Y","N","N","N"
"101946564RR0001",2018-3-31 00:00:00,"23","N","N",,
"102145224RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"102150349RR0001",2018-12-31 00:00:00,"23","N","N",,
"102177979RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"102288495RR0001",2018-9-30 00:00:00,"23","N","N",,
"102299047RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"102415338RR0001",2018-12-31 00:00:00,"23","N","N",,
"102419892RR0001",2018-10-31 00:00:00,"23","N",,"N",
"102450376RR0001",2018-12-31 00:00:00,"23","N","N",,
"102484680RR0001",2018-3-31 00:00:00,"23","N","N",,
"102489283RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"102497682RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"102540473RR0001",2018-6-30 00:00:00,"23","N","N",,
"102693330RR0001",2018-1-31 00:00:00,"23","N","N","N","N"
"102714151RR0001",2018-3-31 00:00:00,"23","N","N",,
"102728177RR0001",2018-12-31 00:00:00,"23","N","N",,
"102830320RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"102830999RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"102842945RR0001",2018-8-31 00:00:00,"23","N","N","N","N"
"102926607RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"102933827RR0001",2018-3-31 00:00:00,"23","N","N",,
"102933868RR0001",2018-12-31 00:00:00,"23","N","N",,
"102933876RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"102933918RR0001",2018-6-30 00:00:00,"23","N","N",,
"102933959RR0001",2018-6-30 00:00:00,"23","N","N",,
"102934049RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"102934072RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"102934130RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"102934213RR0001",2018-12-31 00:00:00,"23","N","N",,
"102934254RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"102934320RR0001",2018-6-30 00:00:00,"23","N","N",,
"102934338RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"102935988RR0001",2018-3-31 00:00:00,"23","N","N",,
"102945896RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"102950466RR0001",2018-3-31 00:00:00,"23",,"N",,
"102983913RR0001",2018-12-31 00:00:00,"23","N","N",,
"102997855RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103018768RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103021861RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"103024386RR0001",2018-12-31 00:00:00,"23","N","N",,
"103033015RR0001",2018-6-30 00:00:00,"23","N","N",,
"103044848RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103051892RR0001",2018-3-31 00:00:00,"23","N","N",,
"103060711RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103069753RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"103072385RR0001",2018-3-31 00:00:00,"23","N","N",,
"103086104RR0001",2018-3-31 00:00:00,"23","N","N",,
"103086252RR0001",2018-3-31 00:00:00,"23","N","N",,
"103115812RR0001",2018-12-31 00:00:00,"23","N","N",,
"103116448RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"103117347RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"103190187RR0001",2018-12-31 00:00:00,"23","N","N",,
"103193496RR0001",2018-3-31 00:00:00,"23","Y",,,
"103199196RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"103242582RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"103274528RR0001",2018-5-31 00:00:00,"23","N","N","N","N"
"103323440RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103328563RR0001",2018-9-30 00:00:00,"23","N",,,
"103372504RR0001",2018-12-31 00:00:00,"23","N","N",,
"103373635RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"103394664RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103402186RR0001",2018-6-30 00:00:00,"23","N","N",,
"103436564RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"103464129RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103464459RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"103480935RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103481032RR0001",2018-3-31 00:00:00,"23","N","N",,
"103649331RR0001",2018-6-30 00:00:00,"23","N","N",,
"103660809RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103747150RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"103767554RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"103782629RR0001",2018-3-31 00:00:00,"23","N","N",,
"103782793RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"103792446RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"103850533RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"103933909RR0001",2018-6-30 00:00:00,"23","N","N",,
"103964052RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104001771RR0001",2018-6-30 00:00:00,"23","N","N",,
"104010830RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"104014394RR0001",2018-10-31 00:00:00,"23","N","N","N","N"
"104022884RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104256581RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104268586RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104304464RR0001",2018-3-31 00:00:00,"23","N","N",,
"104304589RR0001",2018-8-31 00:00:00,"23","N","N","N",
"104455811RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104476379RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"104483342RR0001",2018-3-31 00:00:00,"23","N","N",,
"104483680RR0001",2018-3-31 00:00:00,"23","N","N",,
"104638812RR0001",2018-3-9 00:00:00,"23","N","N","N","N"
"104669148RR0001",2018-12-31 00:00:00,"23","N","N",,
"104708540RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104725908RR0001",2018-10-31 00:00:00,"23","N","N","N","N"
"104779004RR0001",2018-6-30 00:00:00,"23","N","N",,
"104790001RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104790274RR0001",2018-3-31 00:00:00,"23","N","N",,
"104795711RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104798848RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"104832407RR0001",2018-3-31 00:00:00,"23","N","N",,
"104872304RR0001",2018-3-31 00:00:00,"23","N","N",,
"104873716RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104896550RR0001",2018-12-31 00:00:00,"23","N","N",,
"104906003RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104914247RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104917661RR0001",2018-8-31 00:00:00,"23","N","N",,
"104917927RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"104974175RR0001",2018-3-31 00:00:00,"23","N",,,
"104988746RR0001",2018-12-31 00:00:00,"23","N","N",,
"105004790RR0001",2018-8-31 00:00:00,"23","N","N","N","N"
"105028310RR0001",2018-3-31 00:00:00,"23","N","N",,
"105065445RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105120349RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"105196786RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"105200471RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"105200588RR0001",2018-10-31 00:00:00,"23","N","N","N","N"
"105201156RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105202501RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"105202758RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105203459RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105206890RR0001",2018-2-20 00:00:00,"23","N","N","N","N"
"105208813RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"105210017RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105214563RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105214779RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105219638RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"105221899RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105223051RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"105224315RR0001",2018-11-30 00:00:00,"23","N","N","N","Y"
"105225718RR0001",2018-6-30 00:00:00,"23","N","N",,
"105230288RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105233720RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"105243836RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105252845RR0001",2018-6-30 00:00:00,"23","N","N",,
"105254122RR0001",2018-12-31 00:00:00,"23","N","N",,
"105285019RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"105371876RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"105454482RR0001",2018-3-31 00:00:00,"23","N","N",,
"105456347RR0001",2018-9-30 00:00:00,"23","N","N",,
"105474183RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105537088RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"105583116RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105588123RR0001",2018-6-30 00:00:00,"23","N","N",,
"105626873RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"105637268RR0001",2018-12-31 00:00:00,"23","N","N",,
"105656870RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"105787881RR0001",2018-1-31 00:00:00,"23","N","N","N","N"
"106679053RR0001",2018-12-31 00:00:00,"23","N","N",,
"106681059RR0001",2018-6-30 00:00:00,"23","N",,,
"106681182RR0001",2018-5-31 00:00:00,"23","N","N","N","N"
"106683436RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106688138RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106688278RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106688377RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106689854RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106690241RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106691066RR0001",2018-6-30 00:00:00,"23","N","N",,
"106692452RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106692585RR0001",2018-6-30 00:00:00,"23","N","N",,
"106692833RR0001",2018-3-31 00:00:00,"23","N","N",,
"106693120RR0001",2018-1-31 00:00:00,"23","N","N","N","N"
"106693625RR0001",2018-12-31 00:00:00,"23","N","N",,
"106693864RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106694839RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106694904RR0001",2018-9-30 00:00:00,"23","N",,,
"106696784RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106700198RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106702251RR0001",2018-3-31 00:00:00,"23","N","N",,
"106702632RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106702699RR0001",2018-12-31 00:00:00,"23","N","N",,
"106702731RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106702970RR0002",2018-12-31 00:00:00,"23","N","N",,
"106704042RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106704752RR0001",2018-12-31 00:00:00,"23","N","N",,
"106705361RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106708175RR0002",2018-8-31 00:00:00,"23","N","N","N","N"
"106713233RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106713282RR0001",2018-12-31 00:00:00,"23","N","N",,
"106713522RR0001",2018-12-31 00:00:00,"23","N","N",,
"106713753RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106714264RR0001",2018-12-31 00:00:00,"23","N","N",,
"106718968RR0001",2018-7-31 00:00:00,"23","N","N",,
"106719495RR0001",2018-3-31 00:00:00,"23","N","N",,
"106720428RR0001",2018-3-31 00:00:00,"23","N","N",,
"106720436RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106721434RR0001",2018-12-31 00:00:00,"23","N","N",,
"106721681RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106725237RR0001",2018-12-31 00:00:00,"23","N","N",,
"106727829RR0001",2018-12-31 00:00:00,"23","N","N",,
"106728413RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106728702RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106729890RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106731987RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106733132RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"106733231RR0001",2018-12-31 00:00:00,"23","N","N",,
"106733413RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106734783RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106735129RR0001",2018-10-31 00:00:00,"23","N","N",,
"106736077RR0001",2018-3-31 00:00:00,"23","N","N",,
"106736101RR0001",2018-3-31 00:00:00,"23","N","N",,
"106736283RR0001",2018-12-31 00:00:00,"23","N","N",,
"106736309RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106739907RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106740129RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106740996RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106742612RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106743131RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106773864RR0001",2018-12-31 00:00:00,"23","N","N",,
"106776230RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106778079RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106779770RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106779770RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106780844RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106780976RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106781065RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106782956RR0001",2018-12-31 00:00:00,"23","N","N",,
"106785330RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106785363RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106785587RR0001",2018-12-31 00:00:00,"23","N","N",,
"106787765RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106787823RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106788227RR0001",2018-12-31 00:00:00,"23","N","N",,
"106788318RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106788987RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106789076RR0001",2018-12-31 00:00:00,"23","N","N",,
"106789118RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106789688RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106789910RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106789993RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106790116RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106790504RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106792013RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106792443RR0001",2018-3-31 00:00:00,"23","N","N",,
"106792971RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106793144RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"106793292RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106794431RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106796535RR0001",2018-4-30 00:00:00,"23","N","N",,
"106799224RR0001",2018-12-31 00:00:00,"23","N","N",,
"106799471RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106799786RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106801780RR0001",2018-3-31 00:00:00,"23","N","N",,
"106803745RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106803950RR0001",2018-12-31 00:00:00,"23","N","N",,
"106804651RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106805880RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106806979RR0001",2018-12-31 00:00:00,"23","N","N",,
"106806995RR0002",2018-8-31 00:00:00,"23","N","N","N","N"
"106807290RR0001",2018-3-31 00:00:00,"23","N","N",,
"106810609RR0001",2018-12-31 00:00:00,"23","N","N",,
"106811540RR0001",2018-12-31 00:00:00,"23","N","N",,
"106811557RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106812167RR0001",2018-3-31 00:00:00,"23","N","N",,
"106812183RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106812613RR0001",2018-10-31 00:00:00,"23","N","N","N","N"
"106812936RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106813777RR0001",2018-12-31 00:00:00,"23","N","N",,
"106815129RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106815350RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106816523RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106817661RR0001",2018-3-31 00:00:00,"23","N","N",,
"106818131RR0001",2018-3-31 00:00:00,"23","N","N",,
"106818610RR0001",2018-3-31 00:00:00,"23","N","N",,
"106819295RR0001",2018-3-31 00:00:00,"23","N","N",,
"106821283RR0001",2018-12-31 00:00:00,"23","N","N",,
"106821705RR0001",2018-8-31 00:00:00,"23","N","N","N","N"
"106829856RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106830169RR0001",2018-7-31 00:00:00,"23","N","N",,
"106830284RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106830292RR0001",2018-4-30 00:00:00,"23","N","N",,
"106830961RR0001",2018-9-30 00:00:00,"23","N","N",,
"106831753RR0001",2018-12-31 00:00:00,"23","N","N",,
"106831894RR0001",2018-12-31 00:00:00,"23","N","N",,
"106832744RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106833536RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106835127RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106835267RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106835515RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106835564RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106835572RR0001",2018-12-31 00:00:00,"23","N","N",,
"106836174RR0001",2018-12-31 00:00:00,"23","N","N",,
"106836240RR0001",2018-12-31 00:00:00,"23","N","N",,
"106836315RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"106836331RR0001",2018-3-31 00:00:00,"23","N","N",,
"106836372RR0001",2018-3-31 00:00:00,"23","N","N",,
"106836430RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106836554RR0001",2018-12-31 00:00:00,"23","N","N",,
"106836786RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106842057RR0001",2018-7-31 00:00:00,"23","N","N",,
"106844517RR0001",2018-12-31 00:00:00,"23","N","N",,
"106846538RR0001",2018-12-31 00:00:00,"23","N","N",,
"106846942RR0001",2018-8-31 00:00:00,"23","N","N",,
"106862790RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"106863392RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"106863475RR0001",2018-3-31 00:00:00,"23","N","N",,
"106864358RR0001",2018-12-31 00:00:00,"23","N","N",,
"106866718RR0001",2018-12-31 00:00:00,"23","N","N",,
"106867534RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106869183RR0001",2018-9-30 00:00:00,"23","N","N",,
"106871262RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106872849RR0001",2018-8-31 00:00:00,"23","N","N","N","N"
"106873649RR0001",2018-3-31 00:00:00,"23","N","N",,
"106874670RR0001",2018-3-31 00:00:00,"23","N","N",,
"106875370RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"106877301RR0001",2018-7-31 00:00:00,"23","N","N","N","N"
"106877343RR0001",2018-3-31 00:00:00,"23","N","N",,
"106877616RR0001",2018-12-31 00:00:00,"23","N","N",,
"106878374RR0001",2018-3-31 00:00:00,"23","N","N",,
"106878804RR0001",2018-3-31 00:00:00,"23","N","N","N",
"106879174RR0001",2018-12-31 00:00:00,"23","N","N",,
"106880065RR0001",2018-3-31 00:00:00,"23","N","N",,
"106880073RR0024",2018-12-31 00:00:00,"23","N","N","N","N"
"106880073RR0026",2018-12-31 00:00:00,"23","N","N","N","N"
"106880107RR0002",2018-12-31 00:00:00,"23","N","N","N","N"
"106880107RR0004",2018-12-31 00:00:00,"23","N","N","N","N"
"106880107RR0006",2018-12-31 00:00:00,"23","N","N","N","N"
"106880107RR0009",2018-12-31 00:00:00,"23","N","N","N","N"
"106880107RR0018",2018-12-31 00:00:00,"23","N","N",,
