"BN/Registration number","Fiscal period end","Form ID","500","505","510","515","520","525","530","535","540","545","550","555","560","565","580"
"101835247RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Biens encan silencieux",$29630.00
"101835502RR0001",2018-4-30 00:00:00,"23",,,,,,,"Y",,,,,,"Y","Équipement, fibre de carbone et outils",$84730.00
"101835544RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$74789.00
"101835650RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Biens pour encans",$1700.00
"101835841RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,"Y","Dons en biens",$46330.00
"101836542RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$3019.00
"101837342RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","INSTRUMENTS DE MUSIQUE",$38800.00
"101837896RR0001",2018-3-31 00:00:00,"23","Y",,,,,,"Y",,,,"Y",,,,$133937.00
"101885226RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$14510.00
"101944817RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Certificats cadeaux",$6989.00
"101946747RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","photographie",$525.00
"101946762RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,
"102145224RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$124435.00
"102150349RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,"Y","Promissory Note",$420292.00
"102163045RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Gift Certificates",$110.00
"102169158RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,,,$472.00
"102177979RR0001",2018-9-30 00:00:00,"23",,,,,,,,,,,,,"Y","Rental Tools, Mattress, Pizza",$12505.00
"102385325RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,"Y",,,,"Y","Y","Musical Equipment",$40420.00
"102497682RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,,"Y","services",$360.00
"102540473RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$211987.00
"102541786RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","Basketball court equipments,",$7493.00
"102714151RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,"Y",,,,"Y","Y","Y","china/crystal/flatware",$862012.00
"102807245RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,"Y","Y",,$46549.00
"102842945RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","ENTERTAINMENT SERVICES",$120.00
"102918729RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","cartes-cadeaux",$100.00
"102933827RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,"Y",,,"Y",,,,$38226.00
"102933876RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$10300.00
"102934213RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Primes d'assurance vie",$33202.00
"102950466RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Fleurs, Électroménager",$907.00
"102969227RR0001",2018-4-30 00:00:00,"23",,,,,,,,,,,,,"Y","Vehicle Allowance",$9605.00
"102969524RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","cadeaux",$12334.00
"102971892RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","JOUETS",$9571.00
"102980851RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$514.00
"102987625RR0001",2018-7-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","cartes-cadeaux",$27591.00
"102988755RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","toile",$650.00
"102990538RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","MATÉRIEL DE FABRICATIO",$940.00
"102990561RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","équipment informatiqu",$12420.00
"102997855RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","PUBLICITÉ",$887.00
"103018487RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","PIANO, PRIX PRÉSENCE",$1219.00
"103025102RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Cosmétiques",$3900.00
"103047676RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,"Y",,,,,,,"Y",,,$432168.00
"103060869RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$26654.00
"103066064RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,"Y","AEROPLAN",$127584.00
"103080321RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Soins podiatriques",$1068.00
"103115812RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$6366.00
"103116448RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","Livres, photos, revues, cartes pos",$45400.00
"103244091RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","ARTEFACTS",$1070.00
"103309431RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,,,,,$37876.00
"103378725RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Gift cards, sewing sup",$619.00
"103402186RR0001",2018-6-30 00:00:00,"23",,,,,,,"Y",,,,"Y",,,,$59022.00
"103463147RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,
"103463501RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","nourriture, brûleur",$335.00
"103463600RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1459.00
"103464889RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1500.00
"103480943RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","Figurenes, awards",$2410.00
"103633939RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","merchandise",$9202.00
"103741757RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,"Y","Y",,,,$1502770.00
"103761391RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y",,
"103782652RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$3128.00
"103798245RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,"Y",,,$128675.00
"103806154RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$188.00
"103811303RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$273912.00
"103811345RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,,,$53930.00
"103811386RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,"Y",,,,,,,"Y",,,$4533.00
"103839262RR0001",2018-12-31 00:00:00,"23",,,,,,"Y",,,,,,,"Y","PRODUITS",$174614.00
"103867982RR0001",2018-7-14 00:00:00,"23",,,"Y",,,,,,,,,,,,$197.00
"103875738RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","Washrooms donated",$1400.00
"103918389RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Tickets",$69.00
"103920930RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$2475.00
"103929162RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Gift Cards / Certificates",$6535.00
"103982492RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Office supplies",$683.00
"104004569RR0001",2018-8-31 00:00:00,"23","Y",,,,,,"Y",,,,,,,,$28182.00
"104010830RR0001",2018-6-30 00:00:00,"23","Y",,"Y",,"Y",,,,,,,"Y","Y","Certificats-cadeaux",$2061.00
"104014394RR0001",2018-10-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$1706412.00
"104030036RR0001",2018-12-31 00:00:00,"23",,,,,,,,"Y",,,,,,,$209.00
"104110424RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","jeux d'enfants",$991.00
"104110465RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$7134.00
"104125323RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$402625.00
"104130158RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,"Y","Y","PRIZES FOR BINGO FUNDRAISER",$5531.00
"104198411RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","RETRAIT DE L'USUFRUIT SUR IMMEUBLE",$56139.00
"104203138RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,,,,$20898.00
"104213699RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$188.00
"104248513RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","Articles/impressions",$30134.00
"104266804RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","LUTINS DE NOËL",$150.00
"104335435RR0001",2018-1-31 00:00:00,"23",,,,,,,,,,,,,"Y","Property",$4000.00
"104631825RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","EVENT TICKETS",$3954.00
"104635966RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,,,"Y","Chinaware/tickets",$3935.00
"104642772RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$100225.00
"104790290RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$188.00
"104832407RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,"Y",,,,,"Y","PIANO",$37736.00
"104872304RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,"Y",,,,$4152655.00
"104902523RR0001",2018-12-31 00:00:00,"23","Y",,,,,,"Y",,,,,,"Y","Cosmétique",$53380.00
"104906003RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,"Y",,,$91.00
"104911961RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,"Y","Y","Photos et documents historiques",$2850.00
"104917661RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","PROTOTY PE NOVELLE INVENTION INSTRUMENTS: ONDÉA",$12000.00
"104969787RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Instruments de musique",$1540.00
"104973458RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$398.00
"105005805RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$19435.00
"105028310RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$650.00
"105065445RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,"Y",,,
"105198873RR0001",2018-3-31 00:00:00,"23",,,,,,,,"Y",,,,,,,$1688.00
"105200430RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","event tickets, auction",$17794.00
"105202501RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","small items for sales",$38144.00
"105212229RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Food",$457.00
"105215024RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y",,,,,,,,$20000.00
"105223051RR0001",2018-9-30 00:00:00,"23",,,,,,,,,,,,,"Y","Donation",
"105229124RR0001",2018-6-30 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","Sports Tickets/Equipment",$691.00
"105240485RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,"Y",,,,,"Y","Webcam",$4301.00
"105248256RR0001",2018-3-31 00:00:00,"23","Y",,,,"Y",,,,,,,,,,$2262265.00
"105248637RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$10632.00
"105252340RR0001",2018-5-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,"Y","Y","Services",$23294.00
"105252845RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$165044.00
"105255152RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$13494.00
"105255335RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$905736.00
"105260525RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","Gallery Ball",$2321706.00
"105260673RR0001",2018-5-31 00:00:00,"23","Y","Y","Y",,,,,,,,"Y","Y",,,$31884.00
"105285019RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,,,$328036.00
"105330146RR0001",2018-3-31 00:00:00,"23",,"Y",,"Y",,,,,,"Y",,"Y",,,$13657.00
"105454508RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Stocks, life insurance",$3207.00
"105538672RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$9215.00
"105553127RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,,,$69471.00
"105588123RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Cash",$12500.00
"105626873RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,
"105627145RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","MISC. SUPPLIES, E-READERS, VEHICLE REPAIRS",$18016.00
"105629497RR0001",2018-10-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","Gift Certificates and donation of expense",$2195.00
"105645196RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","NOURRITURES, BILLETS",$29379.00
"105645212RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","Gift Cards",$10264.00
"105674147RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,,,$4373.00
"106144801RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$26500.00
"106679319RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,"Y",,,,,$1571.00
"106680838RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","OFFICE-SUPPLIES",$489.00
"106680861RR0001",2018-12-31 00:00:00,"23",,,,"Y",,,,,,"Y",,,,,$6300.00
"106680952RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Items for auction",$67923.00
"106681893RR0001",2018-3-31 00:00:00,"23","Y","Y","Y",,,,"Y",,,,"Y","Y",,,$1391491.00
"106682024RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,"Y",,,"Y",,,,$24715.00
"106682032RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Glass Bowl",$130.00
"106684533RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,"Y","Y","Toys and Toiletries",$8444.00
"106685613RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,"Y","Worship Services Supplies",$238.00
"106685712RR0001",2018-3-31 00:00:00,"23","Y",,,,"Y",,,,"Y",,,,"Y","Mics for auction",$46329.00
"106686306RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","prizes for raffle, Christmas lights and display, painting",$6462.00
"106686603RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Office supplies & utilities",$5584.00
"106686652RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Blue Rodeo Tickets",$260.00
"106687833RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,"Y",,,,$19109.00
"106687882RR0001",2018-2-28 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$1000.00
"106688377RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Tools",$720.00
"106688641RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","$500 Gift Card (redeemed)",$7690.00
"106689813RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$3115.00
"106689854RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,"Y",,,,,"Y","Sports tickets sponsor",$12403.00
"106689896RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Food Bank Grocery Donations",$7999.00
"106690241RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","Gift cards from individuals",$2395.00
"106691066RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,,,,,$845.00
"106691868RR0001",2018-8-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$6997.00
"106692783RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,"Y",,,$5075.00
"106692981RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,"Y",,,,,$5200.00
"106693039RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,"Y",,,$263.00
"106693047RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,"Y",,,"Y","Y","Y",,,$219493.00
"106693088RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,"Y",,$10499.00
"106694169RR0001",2018-10-31 00:00:00,"23","Y","Y","Y",,,,,"Y",,"Y",,,,,$52363.00
"106694888RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Airfare",$8538.00
"106694904RR0001",2018-9-30 00:00:00,"23","Y",,,,,,,,,,,,,,$200.00
"106699382RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,"Y",,"Y","Musical instruments",$5724.00
"106701493RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,"Y","Gifts for silent auction office/stationery supplies",$1490.00
"106702251RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,"Y",,"Y","SCHOOL SUPPLIES, AIRMIL",$1557615.00
"106702970RR0002",2018-12-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","ofc, + Family Serv. sup",$538.00
"106703036RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,"Y","200 TTC Tokens- Out of Cold",$6541.00
"106703101RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Paid for lawn maintenance service",$117.00
"106704794RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,"Y","BLDG MAINTENANCE",$1707.00
"106705262RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$220377.00
"106705296RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Gift card",$815.00
"106705346RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,"Y",,,,,,,,$44870.00
"106705353RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,"Y",,,,"Y",,,,$13972.00
"106705379RR0001",2018-3-31 00:00:00,"23",,,,,,,"Y",,,,,,"Y","Meeting Expenses",$2862.00
"106705403RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$415.00
"106705429RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","concert tickets",$287.00
"106708076RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,"Y",,"Y","Y","Advertising/promo materials Fire safety plan & development",$12605.00
"106708977RR0002",2018-12-31 00:00:00,"23",,,,,,,,"Y","Y",,"Y",,,,$340880.00
"106708985RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y","Y",,,"Y",,,,$347034.00
"106712748RR0002",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,"Y",,,"Y","Program supplies",$5082.00
"106713233RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Utility costs",$333.00
"106713423RR0001",2018-12-31 00:00:00,"23",,,,,,,,,"Y",,,,"Y","Organ",$4065.00
"106713498RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Lobster for fundraising",$285.00
"106714736RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,"Y",,,,,"Y",,"Y",,,$11718.00
"106714819RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,"Y","Y","CD, DVD, Audiobooks",$12029.00
"106716434RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Variety of items for auction",$1841.00
"106716525RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,"Y",,,,$44871.00
"106717382RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Lighting Trusses, Lights & wire",$3000.00
"106718661RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$71297.00
"106718919RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,"Y","OPERATING SUPPLIES",$621.00
"106718943RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Gift card and event tickets",$450.00
"106720063RR0001",2018-3-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","mobilier,loyer",$29965.00
"106720253RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,"Y",,,,$14046.00
"106720428RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","3 wheel bike",$300.00
"106720485RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$250.00
"106721194RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$19109.00
"106721228RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","WOODWORKING SUPPLIES",$550.00
"106721806RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1500.00
"106723588RR0002",2018-12-31 00:00:00,"23","Y",,,,,,,,,,"Y",,,,$639033.00
"106725260RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$4747.00
"106726144RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,"Y",,,,,$1169.00
"106727118RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$1105.00
